,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,30.447144,55.0,32.27,132.41000400000001,28.790001,30.98,30.478571000000002,55.220001,32.75,132.850006,28.875,30.99,30.08,54.049999,32.220001,130.75,28.465,30.48,30.104286,54.130001,32.25,130.899994,28.5,30.48,19.996617999999998,42.615829,28.434008000000002,98.137283,19.8904,24.15258,88102700,2189400,19651700,4223400,10848800,31929700
2010-01-04,30.49,55.720001,32.5,131.179993,28.58,30.620001000000002,30.642857,56.389998999999996,32.75,132.970001,28.610001,31.1,30.34,54.799999,31.870001000000002,130.850006,28.450001,30.59,30.572857,56.18,32.07,132.449997,28.52,30.950001,20.307869,44.229759,28.275305,99.299347,19.904364,24.525019,123432400,6186700,13700400,6155300,13870400,38409100
2010-01-05,30.657142999999998,56.25,32.07,131.679993,28.424999,30.85,30.798571000000003,58.279999,32.16,131.850006,28.495001000000002,31.1,30.464284999999997,56.0,31.700001,130.100006,28.07,30.639999,30.625713,58.02,31.99,130.850006,28.174999,30.959999,20.342979,45.678352000000004,28.204773,98.09979200000001,19.663578,24.532942000000002,150476200,8867800,10307700,6841400,23172400,49749600
2010-01-06,30.625713,58.23,31.9,130.679993,28.174999,30.879998999999998,30.747142999999998,59.990002000000004,32.0,131.490005,28.219998999999998,31.08,30.107143,57.880001,31.68,129.809998,27.99,30.52,30.138571000000002,59.779999,31.82,130.0,28.165001,30.77,20.019398000000002,47.063992,28.054888000000002,97.462532,19.656603,24.382378,138040000,8836500,10709500,5605300,19264600,58182400
2010-01-07,30.25,59.509997999999996,31.77,129.869995,28.165001,30.629998999999998,30.285715000000003,62.310001,31.860001,130.25,28.184998999999998,30.700001,29.864286,59.02,31.540001,128.91000400000001,27.875,30.190001000000002,30.082857,62.200001,31.83,129.550003,28.094998999999998,30.450001,19.982389,48.969231,28.063703999999998,97.12516,19.607744,24.128809,119282800,14379100,8202100,5840600,13234600,50559700
2010-01-08,30.042856,61.540001000000004,31.66,129.070007,27.73,30.280001000000002,30.285715000000003,61.779999,31.940001000000002,130.919998,27.82,30.879998999999998,29.865715,60.860001000000004,31.530001000000002,129.050003,27.375,30.24,30.282858,61.599998,31.879998999999998,130.850006,27.575001,30.66,20.11524,48.496849,28.107784000000002,98.09979200000001,19.244841,24.295214,111902700,7146600,7657500,4197200,28712400,51197400
2010-01-11,30.4,61.950001,31.530001000000002,131.059998,27.575001,30.709999,30.428571999999996,62.09,31.74,131.059998,28.225,30.76,29.778571999999997,60.509997999999996,31.09,128.669998,27.4,30.120001000000002,30.015715000000004,60.869999,31.360001,129.479996,28.135,30.27,19.93779,47.922127,27.649317,97.07268499999999,19.635656,23.986179,115557400,5624900,11250500,5730400,28642400,68754700
2010-01-12,29.884285,60.07,31.02,129.029999,28.045,30.15,29.967142,61.200001,31.120001000000002,131.330002,28.5,30.4,29.488571000000004,59.91,30.68,129.0,28.030001000000002,29.91,29.674286,60.43,30.82,130.509995,28.440001000000002,30.07,19.710993,47.575745,27.173214,97.844872,19.84853,23.827694,148614900,5273800,14618300,8081500,23269800,65912100
2010-01-13,29.695715000000003,60.610001000000004,30.889999,130.389999,28.43,30.26,30.132856,61.700001,31.370001000000002,131.119995,28.715,30.52,29.157142999999998,60.349998,30.870001000000002,129.16000400000001,28.344998999999998,30.01,30.092857000000002,61.16,31.290001,130.229996,28.514999,30.35,19.989031,48.150452,27.587605,97.634964,19.900869,24.049570000000003,151473000,4950400,9620600,6455400,15157400,51863500
