Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
XXII,"22nd Century Group, Inc",1.89,235574500.77,,,Consumer Non-Durables,Farming/Seeds/Milling
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.14,1042993611.36,,1986.0,,
IAF,Aberdeen Australia Equity Fund Inc,5.45,123945676.7,,,,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",7.5801,453154667.6349,,,,
FCO,"Aberdeen Global Income Fund, Inc.",8.16,71194278.24,,1992.0,,
ACU,Acme United Corporation.,17.99,60281485.67,,1988.0,Capital Goods,Industrial Machinery/Components
ATNM,"Actinium Pharmaceuticals, Inc.",0.5624,67002106.6464,,,Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",37.0,156051052.0,,,Energy,Oil Refining/Marketing
ACY,AeroCentury Corp.,11.58,17901336.72,,,Technology,Diversified Commercial Services
UAVS,"AgEagle Aerial Systems, Inc.",0.391,5623660.333,,,Capital Goods,Aerospace
AGE,"AgeX Therapeutics, Inc.",4.76,179118800.0,,2018.0,Health Care,Major Pharmaceuticals
AIRI,Air Industries Group,1.13,32380796.36,,,Capital Goods,Military/Government/Technical
AXU,Alexco Resource Corp,1.1,119511740.7,,,Basic Industries,Precious Metals
ALO,Alio Gold Inc.,0.7882,66766170.1126,,2011.0,Basic Industries,Precious Metals
AAU,"Almaden Minerals, Ltd.",0.575,64242863.425,,2015.0,Basic Industries,Precious Metals
APT,"Alpha Pro Tech, Ltd.",3.55,47981856.8,,,Health Care,Industrial Specialties
AAMC,Altisource Asset Management Corp,29.9,47381573.2,,,Finance,Real Estate
AMBO,Ambow Education Holding Ltd.,6.0275,130028490.8775,,,Consumer Services,Other Consumer Services
DIT,AMCON Distributing Company,89.57,55291113.15,,,Consumer Non-Durables,Food Distributors
AMS,American Shared Hospital Services,2.68,15313520.0,,,Health Care,Medical Specialities
USAS,Americas Silver Corporation,1.74,122225010.66,,2017.0,Basic Industries,Precious Metals
AMPE,"Ampio Pharmaceuticals, Inc.",0.5159,57330872.2602,,,Health Care,Major Pharmaceuticals
APHB,AmpliPhi Biosciences Corporation,0.29,9504660.1,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARNC^,Arconic Inc.,87.03299999999999,0.0,,,,
AKG,Asanko Gold Inc.,0.6509,146976223.2526,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AINC,Ashford Inc.,56.5,139524320.5,,2014.0,Consumer Services,Professional Services
AUG,Auryn Resources Inc.,1.65,155936865.15,,,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation,2.38,9223525.78,,,Public Utilities,Environmental Services
ASM,Avino Silver,0.5876,37708030.1208,,,Basic Industries,Precious Metals
BTG,B2Gold Corp,2.75,2763057415.25,,,Basic Industries,Precious Metals
BTN,"Ballantyne Strong, Inc",2.0,28984180.0,,,Miscellaneous,Industrial Machinery/Components
BKJ,"Bancorp of New Jersey, Inc",13.36,97439369.76,,,Finance,Major Banks
BCV,Bancroft Fund Limited,21.3,111936931.5,,,,
BCV^A,Bancroft Fund Limited,25.42,0.0,,,,
BHB,"Bar Harbor Bankshares, Inc.",26.92,417896065.76,,,Finance,Major Banks
BRN,"Barnwell Industries, Inc.",1.33,11008622.8,,,Energy,Oil & Gas Production
BGSF,BG Staffing Inc,22.08,225867139.2,,,Technology,Professional Services
BIOX,Bioceres Crop Solutions Corp.,4.8,173378481.6,,2018.0,Basic Industries,Agricultural Chemicals
BIOX.WS,Bioceres Crop Solutions Corp.,,0.0,,,,
BPMX,BioPharmX Corporation,0.0912,19914155.0256,,2015.0,Health Care,Major Pharmaceuticals
BTX,"BioTime, Inc.",1.33,198650031.58,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BGI,Birks Group Inc.,1.0553,18954117.7193,,,Consumer Services,Consumer Specialties
BKTI,BK Technologies Corporation,4.1,52292605.4,,,Technology,Radio And Television Broadcasting And Communications Equipment
BDR,"Blonder Tongue Laboratories, Inc.",1.03,9883071.45,,,Technology,Radio And Television Broadcasting And Communications Equipment
BRG,"Bluerock Residential Growth REIT, Inc.",11.07,256156722.54,,2014.0,Consumer Services,Real Estate Investment Trusts
BRG^A,"Bluerock Residential Growth REIT, Inc.",26.25,0.0,,,,
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.17,0.0,,,,
BRG^D,"Bluerock Residential Growth REIT, Inc.",24.3516,0.0,,,,
BWL.A,"Bowl America, Inc.",,0.0,,,,
CMCL,Caledonia Mining Corporation Plc,6.0,64499424.0,,,Basic Industries,Precious Metals
CEI,"Camber Energy, Inc.",0.4053,5112124.6911,,,Energy,Oil & Gas Production
CANF,Can-Fite Biopharma Ltd,0.58,13013889.78,,,Health Care,Major Pharmaceuticals
ROX,"Castle Brands, Inc.",0.6941,117318514.4736,,2006.0,Consumer Non-Durables,Beverages (Production/Distribution)
CAW,"CCA Industries, Inc.",1.39,10364790.76,,,Consumer Non-Durables,Package Goods/Cosmetics
CVM,Cel-Sci Corporation,5.88,175045888.92,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CET,Central Securities Corporation,29.14,742978121.58,,,,
LEU,Centrus Energy Corp.,3.22,25860808.54,,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CHAC,Chardan Healthcare Acquisition Corp.,9.7958,0.0,,2019.0,Finance,Business Services
CHAC.U,Chardan Healthcare Acquisition Corp.,,0.0,,2018.0,,
CHAC.WS,Chardan Healthcare Acquisition Corp.,,0.0,,,,
CCF,Chase Corporation,91.99,865839592.77,,,Consumer Durables,Building Products
CQP,"Cheniere Energy Partners, LP",42.34,20492946267.82,,2007.0,Public Utilities,Oil/Gas Transmission
LNG,"Cheniere Energy, Inc.",67.05,17259724227.15,,,Public Utilities,Oil/Gas Transmission
CVR,Chicago Rivet & Machine Co.,28.4642,27500174.4744,,,Technology,Industrial Machinery/Components
CPHI,"China Pharma Holdings, Inc.",0.4088,17815322.9016,,,Health Care,Major Pharmaceuticals
CKX,"CKX Lands, Inc.",10.2202,19852687.399,,,Energy,Oil & Gas Production
GLV,Clough Global Dividend and Income Fund,11.2,78472094.4,,2004.0,,
GLQ,Clough Global Equity Fund,12.88,142010900.08,,2005.0,,
GLO,Clough Global Opportunities Fund,9.76,314510261.12,,2006.0,,
COHN,Cohen & Company Inc.,6.25,7618275.0,,,Finance,Investment Bankers/Brokers/Service
CIX,CompX International Inc.,15.21,189144821.97,,1998.0,Capital Goods,Industrial Machinery/Components
LODE,"Comstock Mining, Inc.",0.235,18985714.155,,,Basic Industries,Precious Metals
CDOR,"Condor Hospitality Trust, Inc.",9.54,113602615.74,,,Consumer Services,Real Estate Investment Trusts
CTO,Consolidated-Tomoka Land Co.,57.33,310114882.35,,,Finance,Real Estate
MCF,Contango Oil & Gas Company,3.3,113737734.0,,,Energy,Oil & Gas Production
CUO,Continental Materials Corporation,18.6,31252147.8,,,Capital Goods,Building Materials
CMT,Core Molding Technologies Inc,7.6,61904781.6,,,Consumer Non-Durables,Plastic Products
CVRS,"Corindus Vascular Robotics, Inc.",2.1,433069660.8,,2015.0,Health Care,Medical/Dental Instruments
CRMD,CorMedix Inc.,9.67,208005887.11,,,Health Care,Major Pharmaceuticals
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",12.14,465736058.54,,,,
CLM,"Cornerstone Strategic Value Fund, Inc.",12.435,902575611.105,,1987.0,,
CVU,"CPI Aerostructures, Inc.",6.58,77211865.08,,,Capital Goods,Military/Government/Technical
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.125,163452903.125,,,,
DHY,Credit Suisse High Yield Bond Fund,2.5,258657765.0,,1998.0,,
CRHM,CRH Medical Corporation,2.81,201511529.28,,2015.0,Health Care,Medical/Nursing Services
CTEK,"CynergisTek, Inc.",4.91,47735280.23,,2017.0,Miscellaneous,Business Services
DXR,Daxor Corporation,10.2,38217951.6,,,Health Care,Medical/Dental Instruments
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.65,70863515.0,,1993.0,,
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.78,57873501.54,,1993.0,,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",12.6,144962685.0,,1993.0,,
DLA,"Delta Apparel, Inc.",23.03,159952953.51,,,Consumer Non-Durables,Apparel
DNN,Denison Mine Corp,0.574,338159993.19200003,,,Basic Industries,Precious Metals
DGSE,"DGSE Companies, Inc.",0.4168,11222082.0008,,,Consumer Services,Consumer Specialties
DSS,"Document Security Systems, Inc.",1.22,21963319.62,,,Consumer Durables,Containers/Packaging
DPW,"DPW Holdings, Inc.",0.3162,3243932.163,,,Capital Goods,Industrial Machinery/Components
DMF,"Dreyfus Municipal Income, Inc.",8.44,175098611.64,,1988.0,,
DXF,Dunxin Financial Holdings Limited,2.99,62291665.67,,,Finance,Finance: Consumer Services
GRF,"Eagle Capital Growth Fund, Inc.",7.6949,28685748.4559,,,,
EVM,Eaton Vance California Municipal Bond Fund,10.69,228705580.12,,2002.0,,
CEV,Eaton Vance California Municipal Income Trust,12.18,86886943.5,,1999.0,,
EVV,Eaton Vance Limited Duration Income Fund,12.52,1454160665.36,,2003.0,,
EIM,Eaton Vance Municipal Bond Fund,12.32,839832840.0,,2002.0,,
ENX,Eaton Vance New York Municipal Bond Fund,11.85,185592093.0,,2002.0,,
EVY,Eaton Vance New York Municipal Income Trust,12.39,67844554.89,,1999.0,,
ELMD,"Electromed, Inc.",5.41,45358435.44,,2011.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
