Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
YI,"111, Inc.",7.1,56690340.5,7984555.0,2018.0,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",5.2,31266372.8,,2014.0,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",24.9,17430000.0,,,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,1.905,59286575.61,,,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",18.81,1206817397.28,,1999.0,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.7,47303766.9,,2019.0,Finance,Banks
FCCY,1st Constitution Bancorp (NJ),18.38,158276465.96,,,Finance,Savings Institutions
SRCE,1st Source Corporation,46.4,1197333254.4,,,Finance,Major Banks
VNET,"21Vianet Group, Inc.",7.13,444041633.77,62277929.0,2011.0,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",66.78,3882713410.8,,2014.0,Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",17.1,53010000.0,3100000.0,2018.0,Finance,Finance: Consumer Services
TPNL,"3PEA International, Inc.",7.75,362172318.0,,,Miscellaneous,Business Services
JOBS,"51job, Inc.",88.65,3165254366.85,35705069.0,2004.0,Technology,Diversified Commercial Services
JFKKU,8i Enterprises Acquisition Corp,10.0554,50277000.0,,2019.0,Finance,Business Services
EGHT,8x8 Inc,21.09,2017357580.82,,,Technology,EDP Services
AAON,"AAON, Inc.",44.88,2336955141.84,,,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,7.54,361540692.76,,,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,3.07,0.0,,,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,1.7,6229950.9,,2014.0,Capital Goods,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",280.54,12648372015.24,,,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,1.5,250704597.0,,,Energy,Oil & Gas Production
ACIU,AC Immune SA,4.83,326326068.39,,2016.0,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",59.52,2410606128.0,,2016.0,Technology,Semiconductors
ACTG,Acacia Research Corporation,3.2,158872617.6,,,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",29.91,2645430268.68,,,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,26.78,3853170163.18,,1985.0,Health Care,Major Pharmaceuticals
ACAMU,Acamar Partners Acquisition Corp.,10.01,0.0,,2019.0,Finance,Business Services
ACST,"Acasti Pharma, Inc.",0.95,74226097.3,,,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",18.0,1013464818.0,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,44.74,2348527290.38,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Accuray Incorporated,4.4,386669980.4,,2007.0,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",3.33,262263906.9,,2011.0,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,24.38,245929909.94,,,Health Care,Major Pharmaceuticals
AKAO,"Achaogen, Inc.",0.5072,32399933.464,,2014.0,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",3.63,24397956.0,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",3.19,442503003.25,,2006.0,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",34.32,3986039360.16,,,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",6.25,257935268.75,,2015.0,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",15.35,246752984.55,,2017.0,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,38.11,268663381.02,,,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",12.79,609231275.53,,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",47.86,36557089161.78,,,Technology,Computer Software: Prepackaged Software
ADMS,"Adamas Pharmaceuticals, Inc.",6.73,184731702.7,,2014.0,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,1.92,90799407.36,,,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,4.56,366034829.76,80270796.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,65.57,864055100.86,,2009.0,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.35,13987744.2,,,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,6.4,189726636.8,,2015.0,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",2.96,30025724.96,,2018.0,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.3705,0.0,,2018.0,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,5.24,242890076.32,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,271.58,132517717099.94,,1986.0,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",0.3426,24952769.7762,,2017.0,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",14.29,682733944.47,,1994.0,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",3.89,310624455.05,,2015.0,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",12.52,231796256.56,,,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",53.71,2051934476.76,,1995.0,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",27.83,30099918411.09,,,Technology,Semiconductors
ADXS,"Advaxis, Inc.",3.82,1402306.72,,,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",5.42,342549468.78,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.2801,1671007.5,,,,
DWSH,AdvisorShares Dorsey Wright Short ETF,23.7,14220000.0,,,,
BKCH,AdvisorShares Sabretooth ETF,26.71,3338750.0,,,,
ACT,AdvisorShares Vice ETF,25.27,13898500.0,,,,
AEGN,Aegion Corp,18.81,597292250.94,,,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",7.4,213267260.0,,2016.0,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,1.82,40687612.42,,1997.0,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",0.8836,18003736.1332,,,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",44.85,2059113956.25,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",66.31,1586956184.11,,2007.0,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",1.13,45864444.52,,,Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,5.18,85163136.8,,,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",0.83,15737219.15,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",0.21,13601045.22,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,4.19,261582144.14,,2014.0,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,2.75,369064778.5,,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",1.48,63957286.84,,2014.0,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",19.83,466701370.11,,,Technology,EDP Services
