Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
DDD,3D Systems Corporation,10.91,1272949528.47,,,Technology,Computer Software: Prepackaged Software
MMM,3M Company,212.11,122153435461.96,,,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,13.85,588423939.55,,2013.0,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,70.11,10391864681.79,,2013.0,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,21.09,2017357580.82,,,Technology,EDP Services
AHC,A.H. Belo Corporation,3.91,74601044.41,,,Consumer Services,Newspapers/Magazines
AOS,A.O Smith Corporation,54.19,9096481284.51,,,Consumer Durables,Consumer Electronics/Appliances
ATEN,"A10 Networks, Inc.",6.85,514098308.8,,2014.0,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",2.16,53141086.8,,2014.0,Health Care,Medical Specialities
AIR,AAR Corp.,33.65,1179990046.85,,,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",53.54,3628837653.64,,,Technology,Diversified Commercial Services
ABB,ABB Ltd,19.44,41445349172.64,,,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,78.97,138708457142.93,,,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,82.95,122613763441.05,,2012.0,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,25.5,1698464118.0,,,Consumer Services,Clothing/Shoe/Accessory Stores
AGD,Aberdeen Global Dynamic Dividend Fund,9.65,121103466.3,,2006.0,,
AWP,Aberdeen Global Premier Properties Fund,6.02,514155865.02,,2007.0,,
ACP,Aberdeen Income Credit Strategies Fund,12.37,161726270.64,,2011.0,,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.01,93857394.72,,1992.0,,
AOD,Aberdeen Total Dynamic Dividend Fund,8.48,912391514.72,,2007.0,,
ABM,ABM Industries Incorporated,37.01,2451503761.56,,,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,27.92,2306850074.4,,,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,177.0,112896366306.0,,2001.0,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,8.72,894856776.8,,,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",31.26,83781176.4,,2007.0,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,25.74,1580904519.48,,,Technology,Industrial Machinery/Components
AYI,"Acuity Brands, Inc. ",139.86,5581435257.72,,,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,23.43,1757932070.73,,2016.0,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",14.755,1488313950.24,,,,
PEO,"Adams Natural Resources Fund, Inc.",17.08,495245650.76,,,,
AGRO,Adecoagro S.A.,7.08,825215658.72,,2011.0,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Adient plc,18.15,1697612134.35,,2016.0,Capital Goods,Auto Parts:O.E.M.
ADT,ADT Inc.,6.67,5046564521.25,,2018.0,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,48.36,2794240800.0,,,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,178.8,12814619959.2,,,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",27.7,2459415079.6,,2016.0,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",27.42,1570486477.56,,2014.0,Capital Goods,Containers/Packaging
ASIX,AdvanSix Inc.,30.39,882114271.35,,2016.0,Basic Industries,Major Chemicals
AVK,Advent Claymore Convertible Securities and Income Fund,14.97,516842573.34,,2003.0,,
ACM,AECOM,31.15,4862354110.25,,2007.0,Consumer Services,Military/Government/Technical
AEB,Aegon NV,21.78,0.0,,,Finance,Life Insurance
AED,Aegon NV,25.75,0.0,,,Finance,Life Insurance
AEG,Aegon NV,4.95,10134458314.2,,,Finance,Life Insurance
AEH,Aegon NV,25.89,0.0,,,Finance,Life Insurance
