Symbol,Exchange,Name,Last_Price,Market_Cap,IPO_Year,Sector,Industry
A,NYSE,"Agilent Technologies, Inc.",81.68,25934696179.92,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,NYSE,Alcoa Corporation,29.15,5407809589.6,2016,Basic Industries,Aluminum
AABA,NASDAQ,Altaba Inc.,75.39,42781131315.3,1969,Technology,EDP Services
AAC,NYSE,"AAC Holdings, Inc.",2.16,53141086.8,2014,Health Care,Medical Specialities
AAL,NASDAQ,"American Airlines Group, Inc.",34.02,15276869742.96,1969,Transportation,Air Freight/Delivery Services
AAMC,AMEX,Altisource Asset Management Corp,29.9,47381573.2,1969,Finance,Real Estate
AAME,NASDAQ,Atlantic American Corporation,2.48,49983983.36,1969,Finance,Life Insurance
AAN,NYSE,"Aaron&#39;s,  Inc.",53.54,3628837653.64,1969,Technology,Diversified Commercial Services
AAOI,NASDAQ,"Applied Optoelectronics, Inc.",12.3,244556139.9,2013,Technology,Semiconductors
AAON,NASDAQ,"AAON, Inc.",44.88,2336955141.84,1969,Capital Goods,Industrial Machinery/Components
AAP,NYSE,Advance Auto Parts Inc,178.8,12814619959.2,1969,Consumer Services,Other Specialty Stores
AAPL,NASDAQ,Apple Inc.,200.62,945979473600.0,1980,Technology,Computer Manufacturing
AAT,NYSE,"American Assets Trust, Inc.",46.08,2180759362.56,2011,Consumer Services,Real Estate Investment Trusts
AAU,AMEX,"Almaden Minerals, Ltd.",0.575,64242863.425,2015,Basic Industries,Precious Metals
AAWW,NASDAQ,Atlas Air Worldwide Holdings,49.49,1274317416.12,1969,Transportation,Transportation Services
AAXJ,NASDAQ,iShares MSCI All Country Asia ex Japan Index Fund,73.14,4578564000.0,1969,,
AAXN,NASDAQ,"Axon Enterprise, Inc.",60.12,3553650274.32,1969,Capital Goods,Ordnance And Accessories
AB,NYSE,AllianceBernstein Holding L.P.,29.36,2834951042.08,1969,Finance,Investment Managers
ABB,NYSE,ABB Ltd,19.44,41445349172.64,1969,Consumer Durables,Electrical Products
ABBV,NYSE,AbbVie Inc.,82.95,122613763441.05,2012,Health Care,Major Pharmaceuticals
ABC,NYSE,AmerisourceBergen Corporation (Holding Co),74.0,15620652082.0,1969,Health Care,Other Pharmaceuticals
ABCB,NASDAQ,Ameris Bancorp,35.09,1669768492.81,1994,Finance,Major Banks
ABDC,NASDAQ,Alcentra Capital Corp.,7.81,100558170.46,1969,,
ABEO,NASDAQ,Abeona Therapeutics Inc.,7.54,361540692.76,1969,Health Care,Major Pharmaceuticals
ABEOW,NASDAQ,Abeona Therapeutics Inc.,3.07,,1969,Health Care,Major Pharmaceuticals
ABEV,NYSE,Ambev S.A.,4.54,71397713602.9,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,NYSE,Asbury Automotive Group Inc,72.64,1416417820.16,2002,Consumer Durables,Automotive Aftermarket
ABIL,NASDAQ,Ability Inc.,1.7,6229950.9,2014,Capital Goods,Telecommunications Equipment
ABIO,NASDAQ,"ARCA biopharma, Inc.",5.92,108662257.12,1969,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,NYSE,ABM Industries Incorporated,37.01,2451503761.56,1969,Finance,Diversified Commercial Services
ABMD,NASDAQ,"ABIOMED, Inc.",280.54,12648372015.24,1969,Health Care,Medical/Dental Instruments
ABR,NYSE,Arbor Realty Trust,13.52,1162125052.4,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,NYSE,Arbor Realty Trust,25.62,,1969,,
ABR^B,NYSE,Arbor Realty Trust,25.48,,1969,,
ABR^C,NYSE,Arbor Realty Trust,26.27,,1969,,
ABT,NYSE,Abbott Laboratories,78.97,138708457142.93,1969,Health Care,Major Pharmaceuticals
ABTX,NASDAQ,"Allegiance Bancshares, Inc.",35.85,776939586.75,2015,Finance,Major Banks
ABUS,NASDAQ,Arbutus Biopharma Corporation,3.91,223983833.88,1969,Health Care,Major Pharmaceuticals
AC,NYSE,"Associated Capital Group, Inc.",40.36,911536896.16,2015,Finance,Investment Bankers/Brokers/Service
ACA,NYSE,"Arcosa, Inc.",30.87,1501065696.69,2018,Capital Goods,Industrial Machinery/Components
ACAD,NASDAQ,ACADIA Pharmaceuticals Inc.,26.78,3853170163.18,1985,Health Care,Major Pharmaceuticals
ACAMU,NASDAQ,Acamar Partners Acquisition Corp.,10.01,,2019,Finance,Business Services
ACB,NYSE,Aurora Cannabis Inc.,9.1,9219522939.9,1969,Consumer Durables,Specialty Chemicals
ACBI,NASDAQ,"Atlantic Capital Bancshares, Inc.",18.2,451760309.0,1969,Finance,Major Banks
ACC,NYSE,American Campus Communities Inc,48.09,6598577594.28,2004,Consumer Services,Real Estate Investment Trusts
ACCO,NYSE,Acco Brands Corporation,8.72,894856776.8,1969,Consumer Durables,Publishing
ACER,NASDAQ,Acer Therapeutics Inc.,24.38,245929909.94,1969,Health Care,Major Pharmaceuticals
ACGL,NASDAQ,Arch Capital Group Ltd.,32.34,13049795146.08,1969,Finance,Property-Casualty Insurers
ACGLO,NASDAQ,Arch Capital Group Ltd.,24.6,,1969,Finance,Property-Casualty Insurers
ACGLP,NASDAQ,Arch Capital Group Ltd.,23.53,,1969,Finance,Property-Casualty Insurers
ACH,NYSE,Aluminum Corporation of China Limited,10.83,7374221921.94,2001,Basic Industries,Aluminum
ACHC,NASDAQ,"Acadia Healthcare Company, Inc.",29.91,2645430268.68,1969,Health Care,Medical Specialities
ACHN,NASDAQ,"Achillion Pharmaceuticals, Inc.",3.19,442503003.25,2006,Health Care,Major Pharmaceuticals
ACHV,NASDAQ,"Achieve Life Sciences, Inc. ",3.63,24397956.0,1969,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,NASDAQ,"Acacia Communications, Inc.",59.52,2410606128.0,2016,Technology,Semiconductors
ACIU,NASDAQ,AC Immune SA,4.83,326326068.39,2016,Health Care,Major Pharmaceuticals
ACIW,NASDAQ,"ACI Worldwide, Inc.",34.32,3986039360.16,1969,Technology,Computer Software: Prepackaged Software
ACLS,NASDAQ,"Axcelis Technologies, Inc.",20.92,686735254.36,2000,Technology,Industrial Machinery/Components
ACM,NYSE,AECOM,31.15,4862354110.25,2007,Consumer Services,Military/Government/Technical
ACMR,NASDAQ,"ACM Research, Inc.",15.35,246752984.55,2017,Technology,Industrial Machinery/Components
ACN,NYSE,Accenture plc,177.0,112896366306.0,2001,Miscellaneous,Business Services
ACNB,NASDAQ,ACNB Corporation,38.11,268663381.02,1969,Finance,Major Banks
ACOR,NASDAQ,"Acorda Therapeutics, Inc.",12.79,609231275.53,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,NYSE,Aberdeen Income Credit Strategies Fund,12.37,161726270.64,2011,,
ACRE,NYSE,Ares Commercial Real Estate Corporation,15.42,443412354.3,2012,Consumer Services,Real Estate Investment Trusts
ACRS,NASDAQ,"Aclaris Therapeutics, Inc.",6.25,257935268.75,2015,Health Care,Major Pharmaceuticals
ACRX,NASDAQ,"AcelRx Pharmaceuticals, Inc.",3.33,262263906.9,2011,Health Care,Major Pharmaceuticals
ACST,NASDAQ,"Acasti Pharma, Inc.",0.95,74226097.3,1969,Health Care,Major Pharmaceuticals
ACT,NASDAQ,AdvisorShares Vice ETF,25.27,13898500.0,1969,,
ACTG,NASDAQ,Acacia Research Corporation,3.2,158872617.6,1969,Miscellaneous,Multi-Sector Companies
ACU,AMEX,Acme United Corporation.,17.99,60281485.67,1988,Capital Goods,Industrial Machinery/Components
ACV,NYSE,AllianzGI Diversified Income & Convertible Fund,22.86,235856655.54,2015,,
ACWI,NASDAQ,iShares MSCI ACWI Index Fund,73.74,10662804000.0,1969,,
ACWX,NASDAQ,iShares MSCI ACWI ex US Index Fund,47.37,3751704000.0,1969,,
ACY,AMEX,AeroCentury Corp.,11.58,17901336.72,1969,Technology,Diversified Commercial Services
ADAP,NASDAQ,Adaptimmune Therapeutics plc,4.56,366034829.76,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,NASDAQ,Adobe Inc.,271.58,132517717099.94,1986,Technology,Computer Software: Prepackaged Software
ADC,NYSE,Agree Realty Corporation,68.89,2588660516.36,1969,Consumer Services,Real Estate Investment Trusts
ADES,NASDAQ,"Advanced Emissions Solutions, Inc.",12.52,231796256.56,1969,Basic Industries,Major Chemicals
ADI,NASDAQ,"Analog Devices, Inc.",112.07,41276985169.98,1969,Technology,Semiconductors
ADIL,NASDAQ,"Adial Pharmaceuticals, Inc",2.96,30025724.96,2018,Health Care,Major Pharmaceuticals
ADILW,NASDAQ,"Adial Pharmaceuticals, Inc",0.3705,,2018,Health Care,Major Pharmaceuticals
ADM,NYSE,Archer-Daniels-Midland Company,43.24,24218316808.92,1969,Consumer Non-Durables,Packaged Foods
ADMA,NASDAQ,ADMA Biologics Inc,5.24,242890076.32,1969,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,NASDAQ,Adamis Pharmaceuticals Corporation,1.92,90799407.36,1969,Health Care,Major Pharmaceuticals
ADMS,NASDAQ,"Adamas Pharmaceuticals, Inc.",6.73,184731702.7,2014,Health Care,Major Pharmaceuticals
